id,parentId,name,size,size2
c0,NULL,Total,180851,0.479
c1,c0,North East,4747,0.490
c1_1,c1,UKCPrimary and utilities,75,0.867
c1_10,c1,UKCReal estate activities,2,1.000
c1_11,c1,"UKCProfessional, scientific and technical activities",176,0.307
c1_12,c1,UKCAdministrative and support service activities,270,0.593
c1_13,c1,UKCOther service industries,354,0.280
c1_14,c1,UKCTravel-related trade,1701,0.611
c1_2,c1,UKCManufacturing,491,0.330
c1_3,c1,UKCConstruction,61,0.787
c1_4,c1,UKCWholesale and motor trades,102,0.461
c1_5,c1,UKCRetail excluding motor trades,72,0.500
c1_6,c1,UKCTransportation and storage,328,0.595
c1_7,c1,UKCAccommodation and food service activities,13,0.231
c1_8,c1,UKCInformation and communication,329,0.489
c1_9,c1,UKCFinancial and insurance activities,772,0.328
c10,c0,Wales,4702,0.532
c10_1,c10,UKLPrimary and utilities,34,0.735
c10_10,c10,UKLReal estate activities,0,0.000
c10_11,c10,"UKLProfessional, scientific and technical activities",0,0.000
c10_12,c10,UKLAdministrative and support service activities,234,0.667
c10_13,c10,UKLOther service industries,0,0.000
c10_14,c10,UKLTravel-related trade,1806,0.612
c10_15,c10,UKLSuppressed,1362,0.343
c10_2,c10,UKLManufacturing,749,0.579
c10_3,c10,UKLConstruction,37,0.622
c10_4,c10,UKLWholesale and motor trades,0,0.000
c10_5,c10,UKLRetail excluding motor trades,0,0.000
c10_6,c10,UKLTransportation and storage,263,0.578
c10_7,c10,UKLAccommodation and food service activities,0,0.000
c10_8,c10,UKLInformation and communication,217,0.636
c10_9,c10,UKLFinancial and insurance activities,0,0.000
c11,c0,Scotland,13728,0.434
c11_1,c11,UKMPrimary and utilities,1148,0.417
c11_10,c11,UKMReal estate activities,9,0.667
c11_11,c11,"UKMProfessional, scientific and technical activities",1672,0.229
c11_12,c11,UKMAdministrative and support service activities,644,0.610
c11_13,c11,UKMOther service industries,739,0.219
c11_14,c11,UKMTravel-related trade,3534,0.612
c11_2,c11,UKMManufacturing,988,0.440
c11_3,c11,UKMConstruction,128,0.570
c11_4,c11,UKMWholesale and motor trades,286,0.552
c11_5,c11,UKMRetail excluding motor trades,173,0.457
c11_6,c11,UKMTransportation and storage,979,0.576
c11_7,c11,UKMAccommodation and food service activities,51,0.431
c11_8,c11,UKMInformation and communication,774,0.372
c11_9,c11,UKMFinancial and insurance activities,2602,0.288
c12,c0,Northern Ireland,1545,0.616
c12_1,c12,UKNPrimary and utilities,22,0.591
c12_10,c12,UKNReal estate activities,0,0.000
c12_11,c12,"UKNProfessional, scientific and technical activities",0,0.000
c12_12,c12,UKNAdministrative and support service activities,86,0.512
c12_13,c12,UKNOther service industries,0,0.000
c12_14,c12,UKNTravel-related trade,671,0.611
c12_15,c12,UKNSuppressed,184,0.696
c12_2,c12,UKNManufacturing,261,0.716
c12_3,c12,UKNConstruction,37,0.838
c12_4,c12,UKNWholesale and motor trades,0,0.000
c12_5,c12,UKNRetail excluding motor trades,0,0.000
c12_6,c12,UKNTransportation and storage,173,0.555
c12_7,c12,UKNAccommodation and food service activities,0,0.000
c12_8,c12,UKNInformation and communication,111,0.387
c12_9,c12,UKNFinancial and insurance activities,0,0.000
c2,c0,North West,16172,0.548
c2_1,c2,UKDPrimary and utilities,111,0.856
c2_10,c2,UKDReal estate activities,14,0.857
c2_11,c2,"UKDProfessional, scientific and technical activities",714,0.501
c2_12,c2,UKDAdministrative and support service activities,807,0.612
c2_13,c2,UKDOther service industries,1140,0.418
c2_14,c2,UKDTravel-related trade,5822,0.612
c2_2,c2,UKDManufacturing,1656,0.661
c2_3,c2,UKDConstruction,135,0.622
c2_4,c2,UKDWholesale and motor trades,633,0.708
c2_5,c2,UKDRetail excluding motor trades,268,0.414
c2_6,c2,UKDTransportation and storage,1449,0.591
c2_7,c2,UKDAccommodation and food service activities,35,0.314
c2_8,c2,UKDInformation and communication,1066,0.490
c2_9,c2,UKDFinancial and insurance activities,2321,0.318
c3,c0,Yorkshire and The Humber,10323,0.521
c3_1,c3,UKEPrimary and utilities,102,0.794
c3_10,c3,UKEReal estate activities,5,0.800
c3_11,c3,"UKEProfessional, scientific and technical activities",456,0.539
c3_12,c3,UKEAdministrative and support service activities,452,0.608
c3_13,c3,UKEOther service industries,595,0.217
c3_14,c3,UKETravel-related trade,3960,0.612
c3_2,c3,UKEManufacturing,583,0.698
c3_3,c3,UKEConstruction,80,0.613
c3_4,c3,UKEWholesale and motor trades,245,0.555
c3_5,c3,UKERetail excluding motor trades,191,0.372
c3_6,c3,UKETransportation and storage,957,0.586
c3_7,c3,UKEAccommodation and food service activities,20,0.350
c3_8,c3,UKEInformation and communication,462,0.600
c3_9,c3,UKEFinancial and insurance activities,2215,0.324
c4,c0,East Midlands,7908,0.551
c4_1,c4,UKFPrimary and utilities,167,0.719
c4_10,c4,UKFReal estate activities,2,0.500
c4_11,c4,"UKFProfessional, scientific and technical activities",526,0.667
c4_12,c4,UKFAdministrative and support service activities,369,0.653
c4_13,c4,UKFOther service industries,369,0.228
